PostNumber,PostLink,Title,Author,Total_Replies,Total_Weight,Symptom,Treatment,Bodypart
134,https://patient.info//forums/discuss/do-i-have-covid-or-did-i-muscle-ache-and-pain--749155,feeling down,cr r,10,501.5151515,"['Pharyngitis', 'Common Cold', 'Stomach ache', 'Ache', 'BODY PAIN', 'Sore Throat', 'Myalgia', 'Headache', 'Coughing', 'Asthenia', None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', None, None, None, None, None]",[None]
135,https://patient.info//forums/discuss/covid-and-shortness-of-breath-749797,help! can't get my antidepressant anymore!!! nardil,butterflyna i am,8,401.4705882,"['Gonorrhea', 'Geroderma osteodysplastica', 'Pharyngitis', 'Hypotrichosis simplex', 'Tired', 'Sore Throat', 'Coughing', 'Dyspnea', None, None]","[None, None, None, None, None, None, None, None, 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Therapeutic procedure']",[None]
136,https://patient.info//forums/discuss/covid-shortness-of-breath-and-dropping-oxygen-level--749789,pandemic help,basketball11 love101,1,51.42857143,"['Robinow syndrome, autosomal recessive', 'Common Cold', 'Dizziness', 'Breath symptom', 'Asthenia', 'Hoarseness', 'Dyspnea']","[None, None, None, None, None, None, None]",['Dyspnea']
137,https://patient.info//forums/discuss/my-father-has-covid-lung-infection-he-s-been-in-the-hospital-for-more-than-17-days-now--749772,addiction and mental health during this pandemic,zeriah sawyer-dodge,1,51.38888889,"['Gonorrhea', 'Geroderma osteodysplastica', 'Communicable Diseases', 'Confluent and Reticulate Papillomatosis', 'Classical Lissencephaly', 'SHORT STATURE, IDIOPATHIC, X-LINKED', 'Papillon-Lefevre Disease', None, None, None]","[None, None, None, None, None, None, None, 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Noninvasive Ventilation', None]",[None]
138,https://patient.info//forums/discuss/chest-issues-since-pneumonia-in-2019-and-worsen-by-coronavirus-749640,"meditation, mindfulness and stress relieving techniques",duchess of toronto,11,551.3513514,"['Acute lower respiratory tract infection', 'Pneumonia', 'Common Cold', 'Lung Diseases, Obstructive', 'Bronchitis', 'Disease', 'Tired', 'Dizziness', 'Myalgia', 'Coughing', None, None]","[None, None, None, None, None, None, None, None, None, None, None, None]",[None]
139,https://patient.info//forums/discuss/mild-sore-throat--749342,not comforable with my family doctor,sue nich,1,51.31578947,"['Gonorrhea', 'Geroderma osteodysplastica', 'Gastroesophageal reflux disease', 'Pharyngitis', 'Sore Throat', 'Coughing', 'Throat irritation', 'Sore to touch', None, None, None, None]","[None, None, None, None, None, None, None, None, 'Local anesthetic thoracic epidural block', 'Thromboendarterectomy', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'saline gargle']",[None]
140,https://patient.info//forums/discuss/covid-and-vertigo-749062,harm reduction kits? addiction support?,insom 96,1,51.28205128,"['Gastroesophageal reflux disease', 'Actual Inability To Taste', 'Dizziness', 'Vertigo', 'spells (neurological symptom)', None]","[None, None, None, None, None, None]",[None]
141,https://patient.info//forums/discuss/son-and-family-visit-from-ireland-749131,is anyone perfect when it comes to physical distancing?,guitar girl,1,51.25,"['Infantile Neuroaxonal Dystrophy', ""Little's Disease"", 'Lung Diseases, Obstructive', None, None, None, None, None, None, None]","[None, None, None, 'CHAP protocol', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', None, None, None, None, None]",[None]
142,https://patient.info//forums/discuss/covid-19-or-flu--747210,"i have mixed feelings about things opening up , i like to go back to normal but worried that i will get the virus and that the employer will provide the safety for employees",scott stafford,3,151.2195122,"['flu symptoms', 'Influenza', 'Coronavirus Infections', 'Influenza-like symptoms', 'Malaise', 'Headache', 'Chills', None, None]","[None, None, None, None, None, None, None, 'Arm injection', 'Vaccination']",[None]
143,https://patient.info//forums/discuss/avoiding-those-who-do-not-seem-to-understand--748392,making an effort to reach out,davana l,2,101.1904762,"['Gonorrhea', 'Geroderma osteodysplastica', 'Smallpox', ""Little's Disease"", 'Influenza', 'SHORT STATURE, IDIOPATHIC, X-LINKED', 'Lung Diseases, Obstructive', 'Nephritis, Interstitial', 'Age related macular degeneration', 'Aleutian Mink Disease', None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",[None]
144,https://patient.info//forums/discuss/covid-transmission-question-748881,friend problem,catness 45,4,201.1627907,"['Gonorrhea', 'Geroderma osteodysplastica', 'Cancer-Associated Retinopathy', None, None, None, None, None, None]","[None, None, None, 'Therapeutic tactile stimulation', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', None, None, None, None]",[None]
145,https://patient.info//forums/discuss/blood-types-and-coronavirus-739077,any good safe economical facemark referral please?,worried parent,1,51.13636364,"['Obesity', 'Sexually Transmitted Diseases', 'Adult Fanconi syndrome', ""Little's Disease"", 'Pneumonia', 'SHORT STATURE, IDIOPATHIC, X-LINKED', 'Hypotrichosis simplex', 'Lung diseases', 'Coronavirus Infections', 'Acute gastroenteritis', 'Gray Platelet Syndrome', 'HEART PROBLEM', 'Asthenia', None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, 'Therapeutic procedure', 'Cardiac Lead Procedure', None, None]",[None]
146,https://patient.info//forums/discuss/recovered-from-covid-but-still-experiencing-loss-of-smell-739358,just reaching out,john doe,1,51.11111111,"['Multi-infarct dementia', 'Gonorrhea', 'Geroderma osteodysplastica', 'Anosmia', 'Neurologic Symptoms', 'taste sweet', 'Retching', 'taste salty', 'Sleeplessness', None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, 'Modest-Temperature Hyperthermia', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Cardiac Lead Procedure', None, None]",[None]
147,https://patient.info//forums/discuss/several-weeks-past-covid-and-new-tingling-in-hands-and-feet-horrible-muscle-weakness--746817,anxiety/saddness,jenny d.,2,101.0869565,"['Gonorrhea', 'Geroderma osteodysplastica', 'Hamman-Rich syndrome', 'Pneumonia', 'Hepatorenal Syndrome', 'Syndrome', 'MUNGAN SYNDROME', 'Upper Extremity Paresis', 'Stomach ache', 'clogged ear', 'Dizziness', 'Burning sensation', 'Abdominal bloating', 'Has tingling sensation', 'Lower Extremity Paresis', 'Asthenia', 'Pain', None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Modest-Temperature Hyperthermia', None, None, None, None, None, None, None]",[None]
148,https://patient.info//forums/discuss/covid-19-neurological-symptoms-747941,sleeping,northern dancer,1,51.06382979,"['Syndrome', 'Paresthesia of hand', 'Fatigue', 'panic symptoms', 'Pain', 'Paresis', 'Has tingling sensation', 'Dry cough', 'Coughing', 'Hot flushes', 'HEAD PRESSURE SENSATION', 'Clouded consciousness', 'Chills', 'Dyspnea', None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",[None]
149,https://patient.info//forums/discuss/redspots-747622,feeling abused by expectations on ltc managers & staff,mustang sally,1,51.04166667,"['Gonorrhea', 'Geroderma osteodysplastica', 'Exanthema', 'Dry cough', None]","[None, None, None, None, None]",[None]
150,https://patient.info//forums/discuss/burning-nose-sensation--744101,live science official community rules,,2,150,"['Gonorrhea', 'Geroderma osteodysplastica', 'Common Cold', 'hand rash', 'Hypotrichosis simplex', 'Cat allergy (disorder)', 'Anosmia', 'Nasal congestion (finding)', 'Fatigue', 'Burning sensation', 'Has tingling sensation', 'Dry cough', 'Headache', 'Coughing', 'Lethargy', 'Breathing abnormally deep', 'Exhaustion', None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Modest-Temperature Hyperthermia', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'bleomycin/methotrexate/vincristine protocol', None, None, None, None, None]",[None]
151,https://patient.info//forums/discuss/loss-of-smell-and-taste-747172,what are the symptoms of the coronavirus?,,14,725,"['Gonorrhea', 'Geroderma osteodysplastica', 'Disease', 'Anosmia', 'Pelvic Pain', 'taste sweet', 'Retching', 'Fatigue', None, None, None]","[None, None, None, None, None, None, None, None, 'Transjugular intrahepatic portosystemic shunt procedure', 'Shampooing (action)', None]",[None]
152,https://patient.info//forums/discuss/nhs-covid-19-app-747411,how does the new coronavirus compare with the flu?,,50,2516.666667,"[None, None, None, None]","['Osteogenesis, Distraction', None, None, None]",[None]
153,https://patient.info//forums/discuss/nose-discomfort-and-loss-of-smell-and-taste-747215,"are gilead, trump officials and the nih blocking covid-19 treatment research on gs-441524 to allow more expensive remdesivir to proceed ?",,8,412.5,"['Rhinorrhea', 'Malaise', 'Fatigue', 'Headache', 'Coughing', None, None]","[None, None, None, None, None, 'Orthokeratology', None]",[None]
154,https://patient.info//forums/discuss/covid-19-loss-of-smell-and-taste-734276,"temperature taking, in the workplace, what should be the frequency?",,4,210,"['Gonorrhea', 'Geroderma osteodysplastica', 'Influenza', 'Acute gastroenteritis', 'Actual Inability To Taste', 'Chest Pain', 'Ache', 'taste salty', 'Headache', 'Dry cough', 'Pain', 'Exhaustion', None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, 'Transjugular intrahepatic portosystemic shunt procedure', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', None, None]",[None]
155,https://patient.info//forums/discuss/covid-19-taste-and-smell-issues-735714,theory for possible cure for covid-19,,4,208.3333333,"['Obesity', 'Diabetes', 'STUVE-WIEDEMANN SYNDROME', 'Dementia, familial Danish', 'Anosmia', 'Stomach ache', 'Actual Inability To Taste', 'Tired', 'out (of) breath', 'taste sweet', 'Fatigue', 'Asthenia', None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, 'Local anesthetic thoracic epidural block', 'Group reassurance', 'Thromboendarterectomy', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', None, None, None, None]",[None]
156,https://patient.info//forums/discuss/covid19-neurological-symptoms-738606,do you think this out of the box solution can stop the pandemic in 14 days?,,50,2507.142857,"['Gonorrhea', 'Geroderma osteodysplastica', 'Temporohyoid osteoarthropathy', 'Anorexia', 'Pharyngitis', 'Reflex Sympathetic Dystrophy', 'Ache', 'Visual disturbance', 'Tired', 'Paresthesia of hand', 'Fatigue', 'Headache', 'Other symptoms', 'swollen glands in neck', 'Anosmia', 'Actual Inability To Taste', 'Nasal congestion (finding)', 'Neurologic Symptoms', 'Sore Throat', 'Dizziness', 'Has tingling sensation', 'Morning headache', 'Blurred vision', 'Frontal headache', 'Dyspnea', None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Modest-Temperature Hyperthermia', 'Induced abortion (procedure)', 'Trans-hiatal esophagectomy', 'Excision of axillary lymph nodes', None, None, None, None, None, None, None, None, None, None]",[None]
157,https://patient.info//forums/discuss/6-months-in-746424,an alternative to vaccination for covid-19.,,10,506.25,"['Gonorrhea', 'Geroderma osteodysplastica', 'Pneumonia', 'SHORT STATURE, IDIOPATHIC, X-LINKED', 'Asthma', 'Tired', 'Dyspnea', None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, 'Modest-Temperature Hyperthermia', 'Transjugular intrahepatic portosystemic shunt procedure', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'bleomycin/methotrexate/vincristine protocol', 'Exercise Pain Management', 'Water running', 'Therapeutic procedure', None]",[None]
158,https://patient.info//forums/discuss/could-i-have-covid--746827,indications sars-cov-2 was present earlier than thought.,,6,305.5555556,"['Sinusitis', 'Common Cold', 'SHORT STATURE, IDIOPATHIC, X-LINKED', 'Tired', 'Coughing', 'Flushing', 'Asthenia', 'Chills', 'Dyspnea', None, None, None, None]","[None, None, None, None, None, None, None, None, None, 'Quarantine', 'Isolation procedure', 'Release (procedure)', None]",[None]
159,https://patient.info//forums/discuss/i-had-covid-few-months-ago-and-get-recovered-now-i-am-getting-sick-a-lot-what-should-i-do--746457,why are children 'missing' from coronavirus outbreak cases?,,50,2505,"['Allergic disposition', 'Common Cold', 'Allergy to eggs', 'Coronavirus Infections', None, None, None, None, None, None, None, None]","[None, None, None, None, 'Modest-Temperature Hyperthermia', 'Drainage procedure', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'HAC protocol', 'Diet good', 'Exercise Pain Management', 'Procedures involving the use of pharmaceuticals', None]",[None]
160,https://patient.info//forums/discuss/severe-pain-medications-746546,shower,,4,204.5454545,"['Severe pain', None]","[None, 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol']",[None]
161,https://patient.info//forums/discuss/i-was-sick-3-weeks-ago-of-covid-i-got-cured-but-i-still-cough-even-after-all-this-time-746394,confusion and chaos surround coronavirus testing in the us,,10,504.1666667,"['Communicable Diseases', ""Little's Disease"", 'Common Cold', 'Coughing', None]","[None, None, None, None, 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol']",[None]
162,https://patient.info//forums/discuss/covid-19-and-guillain-barr%C3%A9-syndrome-745627,testing,,6,303.8461538,"['Communicable Diseases', 'Influenza', 'Syndrome', 'Coronavirus Infections', None, None, None, None]","[None, None, None, None, 'Treated with', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Peripheral Nerve Stimulation', None]",[None]
163,https://patient.info//forums/discuss/covid-745001,vaccine from live virus,,4,203.5714286,"['Coughing', None]","[None, None]",[None]
164,https://patient.info//forums/discuss/tests-744803,how to prevent development of severe covid-19 disease,,34,1703.333333,"['Pharyngitis', 'Sore Throat', 'Asthenia', None]","[None, None, None, 'Primary operation']",[None]
165,https://patient.info//forums/discuss/covid19-and-eye-pain-744689,the hitchhicker's guide to immunity,,4,203.125,"['Gonorrhea', 'Geroderma osteodysplastica', None, None]","[None, None, 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', None]",[None]
166,https://patient.info//forums/discuss/can-covid-affect-the-muscles--742542,i am to start teaching english conversation classes soon: what can i do?,,16,802.9411765,"['Myalgia', 'Coughing', 'Pain', 'Nervousness', None, None, None]","[None, None, None, None, None, None, None]",[None]
167,https://patient.info//forums/discuss/post-covid-problems-744667,do the catechins in green tea act as a natural antiviral against covid 19?,,4,202.7777778,"['Communicable Diseases', 'Tropical Spastic Paraparesis', 'Hypotrichosis simplex', 'Kidney Diseases', 'Numbness', 'Renal pain', 'Fatigue', 'Xerostomia', 'Coughing', None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, 'Modest-Temperature Hyperthermia', 'Incision and drainage', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Exercise Pain Management', 'Cardiac Lead Procedure', None, None, None, None, None, None]",[None]
168,https://patient.info//forums/discuss/in-a-conundrum--743923,us hospitals are already starting to run out of respirator masks crucial for coronavirus protection,,8,402.6315789,"['Sinusitis', 'Pharyngitis', 'Asthma', 'Anosmia', 'Nasal congestion (finding)', 'Sinus pain', 'Sore Throat', None]","[None, None, None, None, None, None, None, 'Incision and drainage']",[None]
169,https://patient.info//forums/discuss/questions-for-those-diagnosed-with-covid19-covid-world-is-a-lonely-world-let-s-talk-about-it--742193,school closures,,10,502.5,"['Oculocerebrocutaneous syndrome', 'Acute gastroenteritis', 'Anosmia', 'Actual Inability To Taste', 'Nasal congestion (finding)', 'Chest Pain', 'Hand joint pain', 'Loose stool', 'Fatigue', 'Back symptoms/complaints', 'Coughing', 'Dyspnea', None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Exercise Pain Management', None]",[None]
170,https://patient.info//forums/discuss/in-aberdeen-on-saturday-scared-i-have-covid-19-743796,are active cigarette smokers immune to covid-19???,,8,402.3809524,"['Gonorrhea', 'Geroderma osteodysplastica', 'Subacute thyroiditis', 'Coughing', None, None, None]","[None, None, None, None, 'cyclophosphamide/fluorouracil/methotrexate/vincristine protocol', None, None]",[None]
171,https://patient.info//forums/discuss/new-here-hello--740887,alternatives to fighting the virus,,6,302.2727273,"['Gonorrhea', 'Geroderma osteodysplastica', None, None, None, None, None]","[None, None, 'Modest-Temperature Hyperthermia', 'Quarantine', 'Incision and drainage', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Release (procedure)']",[None]
172,https://patient.info//forums/discuss/does-corona-give-u-you-health-problems-you-never-had-or-health-probe-that-was-jus-layn-in-your-body--743633,"coronavirus, toilet flushing, open windows question",,20,1002.173913,"['Gonorrhea', 'Geroderma osteodysplastica', 'Ankylosing spondylitis', 'Atherosclerosis', 'AORTIC VALVE DISEASE 2', 'Abdominal Pain', 'Headache', None, None, None, None]","[None, None, None, None, None, None, None, 'Modest-Temperature Hyperthermia', None, None, None]",[None]
173,https://patient.info//forums/discuss/is-it-really-possible-to-test-positive-twice--743378,can anyone here suggest me some tips to keep our home safe during covid-19?,,6,302.0833333,"[None, None]","['Modest-Temperature Hyperthermia', 'Release (procedure)']",[None]
174,https://patient.info//forums/discuss/9-weeks-after-hospital-discharge-still-coughing-737883,are us communities and hospitals ready to take on covid-19?,,4,202,"['Duane Retraction Syndrome', 'Pneumonia', 'Influenza', 'Chronic Obstructive Airway Disease', 'Gonorrhea', 'Geroderma osteodysplastica', 'Anorexia', ""Little's Disease"", 'Lung Problem', 'Pneumonia, Viral', 'Asthma', 'Cystic Fibrosis', 'Diabetic Retinopathy', 'Disease', 'Lower respiratory tract infection', 'Anosmia', 'persistent dry cough', 'Chest tightness', 'Headache', 'Coughing', 'Asthenia', 'Night sweats', 'Dyspnea', None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Single Embryo Transfer', 'Surgical repair', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Exercise Pain Management', None, None, None, None, None]",[None]
175,https://patient.info//forums/discuss/now-in-my-8th-week-and-still-short-of-breath-please-help--738232,covid-19 in meatorks,,6,301.9230769,"['Communicable Diseases', 'Duane Retraction Syndrome', 'Pharyngitis', 'Influenza', 'Reflex Epilepsy, Reading', 'Pulmonary congestion', 'STOMATOCYTOSIS I', 'Gonorrhea', 'Geroderma osteodysplastica', 'flu symptoms', 'Acute lower respiratory tract infection', ""Little's Disease"", 'Diabetic Retinopathy', 'Tired', 'Abdominal Pain', 'Nausea', 'Fatigue', 'Dizziness', 'Sore Throat', 'Headache', 'Coughing', 'Breathing abnormally deep', 'Dyspnea', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Treated with', 'Transjugular intrahepatic portosystemic shunt procedure', 'removal technique', 'bleomycin/methotrexate/vincristine protocol', 'Etoposide/Ifosfamide/Mesna/Mitoxantrone', 'Discussion (procedure)', 'Modest-Temperature Hyperthermia', 'Interventional procedure', 'Total Androgen Blockade', 'Therapeutic tactile stimulation', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Direct Method', 'Therapeutic procedure', None, None, None, None, None, None, None]",[None]
176,https://patient.info//forums/discuss/4-week-recovered-from-coronavirus-but-symptoms-flare-up-when-i-exercise-is-this-normal--742982,why not antibiotics?,,10,501.8518519,"['Coronavirus Infections', 'Chest tightness', 'Flare', 'Coughing', None, None]","[None, None, None, None, 'Exercise Pain Management', None]",[None]
177,https://patient.info//forums/discuss/why-is-the-f-g-coronavirus-f-g-die--742863,grocery shopping safely during coronavirus,,20,1001.785714,"['Gonorrhea', 'Geroderma osteodysplastica', 'Lung Diseases, Obstructive', 'Coronavirus Infections', 'Acute gastroenteritis']","[None, None, None, None, None]",['Acute gastroenteritis']
178,https://patient.info//forums/discuss/difficulty-breathing-after-recent-physician-visit-741922,prognosis for restored senses of smell and test?,,10,501.7241379,"[""Little's Disease"", 'PREMATURE CHROMATID SEPARATION TRAIT', 'Flare', 'Muscle Cramp', 'Pain', 'Dyspnea', None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None]",[None]
179,https://patient.info//forums/discuss/pain-in-lymph-nodes-after-initial-symptoms-improve--742674,crossover,,4,201.6666667,"['Pharyngitis', 'Recurrent disease', 'Coronavirus Infections', 'neck tightness', 'Sore Throat', 'Headache', 'Chills', None, None]","[None, None, None, None, None, None, None, 'Modest-Temperature Hyperthermia', None]",[None]
180,https://patient.info//forums/discuss/post-covid-symptom-742564,using an old approach to developing a corona virus vaccine?,,4,201.6129032,"['Sexually Transmitted Diseases', 'Vitamin D Deficiency', 'Asthenia', None, None, None]","[None, None, None, None, None, None]",[None]
181,https://patient.info//forums/discuss/long-haul-coronvirus-healing-stories-742601,"if i have a cold or the flu, can i also get the covid-19 virus too?",,4,201.5625,"['Hay fever', 'Gray Platelet Syndrome', 'Nasal congestion (finding)', 'Sore Throat', None]","[None, None, None, None, None]",[None]
182,https://patient.info//forums/discuss/corona-symtom--741424,pe lung damage risk,,4,201.5151515,"['Gastritis', 'Coronavirus Infections', 'Stomach ache', 'Vomiting', 'Dyspepsia', 'Malaise', None, None, None]","[None, None, None, None, None, None, 'Treated with', None, None]",[None]
183,https://patient.info//forums/discuss/anyone-else-13-weeks-still-with-symptoms-or-symptoms-getting-better-741198,analytics and visualization on coronavirus,,8,401.4705882,"['Gonorrhea', 'Geroderma osteodysplastica', 'Diabetes Mellitus, Non-Insulin-Dependent', 'Pharyngitis', 'Pneumonia', 'Respiratory Distress Syndrome, Adult', 'Reflex Sympathetic Dystrophy', 'Strangles', 'Basilar-Type Migraine', 'Coronavirus Infections', 'Lower respiratory tract infection', 'Temporal headache', 'BODY PAIN', 'Headache Severe', 'Fatigue', 'Pain of lymph node', 'Headache', 'Pain', 'spells (neurological symptom)', 'Chest tightness', 'Sore Throat', 'chest heaviness', 'Coughing', 'Dyspnea', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Modest-Temperature Hyperthermia', 'Pain relief', 'Drainage procedure', 'Ligamentous articular strain technique', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Excision of axillary lymph nodes', 'Enlargement procedure', 'Urgent Procedure', 'Cardiac Lead Procedure', None, None, None, None, None, None, None, None, None, None]",[None]
184,https://patient.info//forums/discuss/covid-tinnitus-and-vertigo-736891,symptoms january 1-mid feb.2020,,4,201.4285714,"['Gonorrhea', 'Geroderma osteodysplastica', 'Cerebrovascular accident', 'Myocardial Infarction', 'Lung Diseases, Obstructive', 'Conjunctivitis', 'Cancer-Associated Retinopathy', 'Wolf-Hirschhorn Syndrome', 'Deglutition Disorders', 'Laryngismus paralyticus', 'Recurrent disease', 'Disease', 'Seizures', 'Feeling strange', 'room spinning', 'Suffocated', 'Upset stomach', 'Equilibration disorder', 'feeling dizzy', 'Lightheadedness', 'Nervousness', 'Chest pressure', 'Exhaustion', 'Neurologic Symptoms', 'Buzzing in ear', 'Nausea', 'Vertigo', 'Dizziness', 'Pruritus', 'Coughing', 'Clouded consciousness', 'Dyspnea', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Modest-Temperature Hyperthermia', 'Single Embryo Transfer', 'Physical therapy exercises', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'bleomycin/methotrexate/vincristine protocol', 'Direct Method', 'Diet good', None, None, None, None, None, None, None, None, None, None, None, None]",[None]
185,https://patient.info//forums/discuss/soft-palette-and-ear-pain-742130,worried,,6,301.3888889,"['SHORT STATURE, ONYCHODYSPLASIA, FACIAL DYSMORPHISM, AND HYPOTRICHOSIS SYNDROME', 'Itching of ear', 'Sore skin', 'Pruritus', None]","[None, None, None, None, 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol']",[None]
186,https://patient.info//forums/discuss/covid-symptoms-for-8-weeks-when-does-it-end--741705,poll: have you cancelled trips abroad?,,20,1001.351351,"['Pneumonia', 'Respiratory Distress Syndrome, Adult', 'Headache Severe', 'Chest tightness', 'Fatigue', 'chest heaviness', 'Coughing', 'spells (neurological symptom)', 'Dyspnea', None, None, None, None]","[None, None, None, None, None, None, None, None, None, 'Drainage procedure', 'Ligamentous articular strain technique', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', None]",[None]
187,https://patient.info//forums/discuss/household-hit-by-covid-march-april-anxiety-over-recurring-symptoms--741089,zoonotic viruses from animals with core temperatures above humans,,4,201.3157895,"['Chronic Fatigue Syndrome', 'Communicable Diseases', 'SHORT STATURE, IDIOPATHIC, X-LINKED', 'Chronic Obstructive Airway Disease', 'Gonorrhea', 'Geroderma osteodysplastica', 'Sexually Transmitted Diseases', 'Malignant hyperpyrexia due to anesthesia', ""Little's Disease"", 'Lung Problem', 'Lung Diseases, Obstructive', 'STUVE-WIEDEMANN SYNDROME', 'Struck', 'Disease', 'Chest Pain', 'Nausea', 'Dizziness', 'Headache', 'Coughing', 'CHEST PAIN, SHARP', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Modest-Temperature Hyperthermia', 'Transjugular intrahepatic portosystemic shunt procedure', 'Anterior decompression of shoulder joint', 'Antiretroviral therapy', 'Assisted Reproductive Technologies', 'Incision and drainage', 'Release (procedure)', 'HAC protocol', 'Calming', 'Exercise Pain Management', 'Osteogenesis, Distraction', 'Cardiac Lead Procedure', None, None, None]",[None]
188,https://patient.info//forums/discuss/increased-bp-740230,seasonal flu jag,,6,301.2820513,"['Multi-infarct dementia', 'Gonorrhea', 'Geroderma osteodysplastica', 'POPLITEAL PTERYGIUM SYNDROME, LETHAL TYPE', 'Isaacs syndrome', 'Headache Severe', 'Nausea', 'Fatigue', 'Headache', 'Pain', 'Asthenia', None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, 'Therapeutic tactile stimulation', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', None, None]",[None]
189,https://patient.info//forums/discuss/suffering-with-sore-throat-741134,health issues that put people at higher risk,,4,201.25,"['Lyme Disease', 'Pharyngitis', ""Little's Disease"", 'Fatigue', 'Sore Throat', 'Burning sensation', 'Catarrh', 'Stinging Sensation', 'Mastodynia', 'Dyspnea', 'Sore to touch', 'spells (neurological symptom)', None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, 'Modest-Temperature Hyperthermia', 'Group reassurance', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Visceral manipulation', None, None, None, None, None, None, None]",[None]
190,https://patient.info//forums/discuss/sore-throat-still-a-problem-735817,how often are you washing your hands now?,,6,301.2195122,"['Gonorrhea', 'Geroderma osteodysplastica', 'Pelvic Organ Prolapse', ""Little's Disease"", 'Pharyngitis', 'Dehydration', 'Deep Vein Thrombosis', 'Congenital leukocyte adherence deficiency', 'Reflex Sympathetic Dystrophy', 'Lower respiratory tract infection', 'Virus Diseases', 'Pain, Postoperative', 'Chest tightness', 'Upset stomach', 'Fatigue', 'Sore Throat', 'Headache', 'Coughing', 'Pain', 'Night sweats', 'Sore to touch', 'Exhaustion', 'Dyspnea', None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Excision of axillary lymph nodes', 'saline gargle', None, None, None, None, None, None, None, None, None]",[None]
